city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Cap Malheureux,MU,2021-10-18 23:55:29,-19.9842,57.6142,73.89,80,81,5.99
123,Lebu,CL,2021-10-18 23:55:30,-37.6167,-73.65,52.54,85,0,17.63
124,Kapaa,US,2021-10-18 23:55:30,22.0752,-159.319,82.38,73,30,7.0
125,Hobart,AU,2021-10-18 23:55:31,-42.8794,147.3294,52.02,60,75,11.5
126,Labytnangi,RU,2021-10-18 23:55:31,66.6572,66.4183,32.22,90,56,5.97
127,Bluff,NZ,2021-10-18 23:55:31,-46.6,168.3333,49.66,47,87,23.85
128,Dabat,ET,2021-10-18 23:55:32,12.9842,37.765,51.82,55,2,6.53
129,Alice Springs,AU,2021-10-18 23:55:32,-23.7,133.8833,90.95,24,0,10.36
130,Mao,ES,2021-10-18 23:55:33,39.8885,4.2658,64.96,77,0,2.3
131,Saint-Philippe,RE,2021-10-18 23:55:33,-21.3585,55.7679,71.15,77,42,10.2
132,Bethel,US,2021-10-18 23:55:34,41.3712,-73.414,50.99,79,51,1.01
133,Vostok,RU,2021-10-18 23:55:34,46.4856,135.8833,26.15,61,77,4.0
134,Rexburg,US,2021-10-18 23:55:34,43.826,-111.7897,58.26,53,95,4.05
135,Bosaso,SO,2021-10-18 23:55:35,11.2842,49.1816,81.64,54,76,2.91
136,Isfana,KG,2021-10-18 23:55:35,39.8386,69.5306,37.96,33,0,3.18
137,Dhidhdhoo,MV,2021-10-18 23:55:36,6.8833,73.1,82.08,72,86,12.5
138,Yibin,CN,2021-10-18 23:55:36,28.7667,104.6238,58.05,92,100,0.4
139,Makushino,RU,2021-10-18 23:55:36,55.2103,67.2442,46.85,57,100,11.27
140,Slave Lake,CA,2021-10-18 23:55:36,55.2834,-114.769,35.58,69,90,4.61
141,Boyolangu,ID,2021-10-18 23:55:37,-8.1181,111.8935,80.44,79,96,1.72
142,Onega,RU,2021-10-18 23:55:37,63.9061,38.1404,36.39,91,100,14.5
143,Teknaf,BD,2021-10-18 23:55:38,20.8624,92.3058,77.27,90,100,8.59
144,Santa Quiteria,BR,2021-10-18 23:55:38,-4.3319,-40.1567,81.72,56,67,7.76
145,Araguaina,BR,2021-10-18 23:55:38,-7.1911,-48.2072,78.91,70,64,1.86
146,Bien Hoa,VN,2021-10-18 23:55:39,10.95,106.8167,80.58,90,85,4.25
147,Ust-Kan,RU,2021-10-18 23:55:39,50.9276,84.761,27.57,71,2,3.67
148,Srednekolymsk,RU,2021-10-18 23:55:40,67.45,153.6833,3.85,92,82,4.65
149,Fortuna,US,2021-10-18 23:55:40,40.5982,-124.1573,62.42,68,1,7.0
150,Airai,TL,2021-10-18 23:55:41,-8.9266,125.4092,71.76,66,91,2.53
151,Tura,IN,2021-10-18 23:55:41,25.5198,90.2201,71.49,99,100,6.33
